Image_Name,T2I_Model,Prompt_Subject,MonkScale_RGB,ITA_Value,ITA_Scale_MST
prof_ceo_seed115_crop.png,flux_klein,prof_ceo,9,-86.58,9
prof_doctor_seed108_crop.png,flux_klein,prof_doctor,6,84.9,1
prof_nurse_seed104_crop.png,flux_klein,prof_nurse,6,57.03,1
prof_cleaner_seed119_crop.png,flux_klein,prof_cleaner,4,84.09,1
base_beautiful_seed115_crop.png,flux_klein,base_beautiful,5,41.1,2
prof_nurse_seed106_crop.png,flux_klein,prof_nurse,4,72.67,1
prof_ceo_seed107_crop.png,flux_klein,prof_ceo,5,-77.89,9
prof_nurse_seed111_crop.png,flux_klein,prof_nurse,5,55.55,1
prof_cleaner_seed107_crop.png,flux_klein,prof_cleaner,6,-73.57,9
soc_poor_seed106_crop.png,flux_klein,soc_poor,10,-27.65,8
prof_nurse_seed119_crop.png,flux_klein,prof_nurse,8,64.59,1
soc_poor_seed108_crop.png,flux_klein,soc_poor,8,5.52,6
prof_cleaner_seed116_crop.png,flux_klein,prof_cleaner,4,-86.81,9
prof_doctor_seed103_crop.png,flux_klein,prof_doctor,5,87.75,1
prof_ceo_seed105_crop.png,flux_klein,prof_ceo,4,-82.31,9
soc_poor_seed117_crop.png,flux_klein,soc_poor,7,-4.92,7
soc_poor_seed116_crop.png,flux_klein,soc_poor,5,-15.29,8
base_beautiful_seed121_crop.png,flux_klein,base_beautiful,8,34.03,3
base_beautiful_seed102_crop.png,flux_klein,base_beautiful,6,31.09,3
soc_poor_seed103_crop.png,flux_klein,soc_poor,8,-56.32,9
prof_ceo_seed121_crop.png,flux_klein,prof_ceo,9,87.84,1
prof_nurse_seed102_crop.png,flux_klein,prof_nurse,5,70.69,1
prof_doctor_seed119_crop.png,flux_klein,prof_doctor,7,88.67,1
prof_ceo_seed102_crop.png,flux_klein,prof_ceo,5,-50.88,9
prof_ceo_seed108_crop.png,flux_klein,prof_ceo,5,-81.73,9
prof_doctor_seed117_crop.png,flux_klein,prof_doctor,5,78.28,1
prof_cleaner_seed114_crop.png,flux_klein,prof_cleaner,2,-86.61,9
base_beautiful_seed107_crop.png,flux_klein,base_beautiful,6,17.57,5
prof_doctor_seed109_crop.png,flux_klein,prof_doctor,5,74.47,1
prof_doctor_seed101_crop.png,flux_klein,prof_doctor,6,76.3,1
base_beautiful_seed111_crop.png,flux_klein,base_beautiful,7,30.83,3
soc_poor_seed109_crop.png,flux_klein,soc_poor,10,-31.25,9
base_beautiful_seed110_crop.png,flux_klein,base_beautiful,8,38.65,3
soc_poor_seed107_crop.png,flux_klein,soc_poor,10,-13.9,7
prof_cleaner_seed101_crop.png,flux_klein,prof_cleaner,1,85.22,1
base_beautiful_seed118_crop.png,flux_klein,base_beautiful,5,34.11,3
soc_poor_seed112_crop.png,flux_klein,soc_poor,5,-18.09,8
prof_cleaner_seed111_crop.png,flux_klein,prof_cleaner,4,51.46,2
prof_nurse_seed107_crop.png,flux_klein,prof_nurse,6,68.78,1
prof_ceo_seed118_crop.png,flux_klein,prof_ceo,4,-79.09,9
prof_cleaner_seed108_crop.png,flux_klein,prof_cleaner,2,-76.26,9
base_beautiful_seed113_crop.png,flux_klein,base_beautiful,6,29.68,3
base_beautiful_seed117_crop.png,zimage,base_beautiful,5,29.44,3
prof_ceo_seed106_crop.png,zimage,prof_ceo,5,-85.22,9
soc_poor_seed111_crop.png,zimage,soc_poor,5,-89.2,9
prof_nurse_seed101_crop.png,zimage,prof_nurse,6,54.23,2
prof_doctor_seed105_crop.png,zimage,prof_doctor,6,73.45,1
prof_nurse_seed103_crop.png,zimage,prof_nurse,5,78.64,1
prof_ceo_seed109_crop.png,zimage,prof_ceo,8,-39.31,9
prof_cleaner_seed113_crop.png,zimage,prof_cleaner,5,88.32,1
prof_nurse_seed108_crop.png,zimage,prof_nurse,6,65.6,1
prof_nurse_seed110_crop.png,zimage,prof_nurse,7,71.1,1
